country;country_alternativename;resident_singular;resident_plural;adjective
Malaysia;;malaysier (=);;malaysisk
Maldiverna;;maldivier (=);;maldivisk
Mali;;malier (=);;malisk
Malta;;maltes (-er);;maltesisk
Marocko;;marockan (-er);;marockansk
Marshallöarna;;marshalles (-er);;marshallesisk
Mauretanien;;mauretanier (=);;mauretansk
Mauritius;;mauritier (=);;mauritisk
Mexiko;;mexikan (-er);;mexikansk
Mikronesien;;mikronesier (=);;mikronesisk
Moçambique;;moçambikier (=);;moçambikisk
Moldavien;;moldavier (=);;moldavisk
Monaco;;monegask (-er);;monegaskisk
Mongoliet;;mongolier (=);;mongolisk
Montenegro;;montenegrin (-er);;montenegrinsk
Myanmar;Burma;myanmarier;;myanmarisk
Namibia;;namibier (=);;namibisk
Nauru;;nauruer (=);;naurisk
Nederländerna;Holland;nederländare (=),holländare (=);;nederländsk, holländsk
Nepal;;nepales (-er);;nepalesisk
Nicaragua;;nicaraguan (-er);;nicaraguansk
Niger;;nigerier (=);;nigerisk
Nigeria;;nigerian (-er);;nigeriansk
Nordkorea;;nordkorean (-er);;nordkoreansk
Norge;;norrman (norrmän);;norsk
Nya Zeeland;;nyzeeländare (=);;nyzeeländsk
Oman;;omanier (=);;omansk
Pakistan;;pakistanier (=);;pakistansk
Palau;;palauer (=);;palauisk
Palestina;;palestinier (=);;palestinsk
Panama;;panaman (-er);;panamansk
Papua Nya Guinea;;papuan (-er);;papuansk
Paraguay;;paraguayan (-er);;paraguayansk
Peru;;peruan (-er);;peruansk
Polen;;polack (-er);;polsk
Portugal;;portugis (-er);;portugisisk
Qatar;;qatarier (=);;qatarisk
Rumänien;;rumän (-er);;rumänsk
Rwanda;;rwandier (=);;rwandisk
Ryssland;;ryss (-ar);;rysk
Salomonöarna;;salomonier (=);;salomonsk
Samoa;;samoan (-er);;samoansk
San Marino;;sanmarinier (=);;sanmarinsk
Sao Tomé och Principe;;(sao)tomean (-er);;(sao)tomeansk
Saudiarabien;;saudier (=);;saudisk
Schweiz;;schweizare (=);;schweizisk
Senegal;;senegales (-er);;senegalesisk
Serbien;;serb (-er);;serbisk
Seychellerna;;seychellier (=);;seychellisk
Sierra Leone;;sierraleonier (=);;sierraleonsk
Singapore;;singaporian (-er);;singaporiansk
Slovakien;;slovak (-er);;slovakisk
Slovenien;;sloven (-er);;slovensk
Somalia;;somalier (=);;somalisk
Spanien;;spanjor (-er);;spansk
Sri Lanka;;lankes (-er);;lankesisk
Saint Kitts och Nevis;;kittsian (-er), nevisian (-er);;kittsiansk, nevisiansk
Saint Lucia;;lucian (-er);;luciansk
Saint Vincent och Grenadinerna;;vincentier (=),grenadinier (=);;vincentisk, grenadinsk
Storbritannien;;britt (-er);;brittisk
Sudan;Nordsudan;sudanes (-er);;sudanesisk
Surinam;;surinames (-er);;surinamesisk
Sverige;;svensk (-ar);;svensk
Swaziland;;swaziländare (=);;swaziländsk
Sydafrika;;sydafrikan (-er);;sydafrikansk
Sydkorea;;sydkorean (-er);;sydkoreansk
Sydsudan;;sydsudanes (-er);;sydsudanesisk
Syrien;;syrier (=);;syrisk
Tadzjikistan;;tadzjikistanier (=),tadzjik (-er);;tadzjikistansk, tadzjikisk
Taiwan;;taiwanes (-er);;taiwanesisk
Tanzania;;tanzanier (=);;tanzanisk
Tchad;;tchadier (=);;tchadisk
Thailand;;thailändare (=);;thailändsk
Tjeckien;;tjeck (-er);;tjeckisk
Togo;;togoles (-er);;togolesisk
Tonga;;tongan (-er);;tongansk
Trinidad och Tobago;;trinidadier (=),tobagier (=);;trinidadisk, tobagisk
Tunisien;;tunisier (=);;tunisisk
Turkiet;;turk (-ar);;turkisk
Turkmenistan;;turkmenistanier (=),turkmen (-er);;turkmenistansk, turkmenisk
Tuvalu;;tuvaluan (-er);;tuvaluansk
Tyskland;;tysk (-ar);;tysk
Uganda;;ugandier (=);;ugandisk
Ukraina;;ukrainare (=);;ukrainsk
Ungern;;ungrare (=);;ungersk
Uruguay;;uruguayan (-er);;uruguayansk
USA;Förenta staterna;amerikan (-er);;amerikansk
Uzbekistan;;uzbekistanier (=),uzbek (-er);;uzbekistansk, uzbekisk
Vanuatu;;vanuatuer (=);;vanuatisk
Vatikanstaten;;vatikanare (=);;vatikansk
Venezuela;;venezuelan (-er);;venezuelansk
Vietnam;;vietnames (-er);;vietnamesisk
Vitryssland;;vitryss (-ar);;vitrysk
Zambia;;zambier (=);;zambisk
Zimbabwe;;zimbabwier (=);;zimbabwisk
Österrike;;österrikare (=);;österrikisk
Östtimor;;östtimorian (-er);;östtimoriansk 
