Organisationsnr	Namn	PostAdress	PostNr	PostOrt	BesöksAdress	BesöksPostNr	BesöksPostOrt	Tfn	Fax	Epost	Webbadress	SFS
202100-5026	EKONOMISTYRNINGSVERKET	BOX 45316	104 30	STOCKHOLM	DROTTNINGGATAN 89	113 60	STOCKHOLM	08-6904300	08-6904350	registrator@esv.se	www.esv.se	2016:1023
202100-6438	E-LEGITIMATIONSNÄMNDEN		171 04	SOLNA				010-5742100		kansliet@elegnamnden.se	www.elegnamnden.se	2010:1497
202100-4466	ELSÄKERHETSVERKET	BOX 4	681 21	KRISTINEHAMN	SÖDRA TORGET 3	681 31	KRISTINEHAMN	010-1680500	010-1680599	registrator@elsakerhetsverket.se	www.elsakerhetsverket.se	2007:1121
202100-5695	ENERGIMARKNADSINSPEKTIONEN	BOX 155	631 03	ESKILSTUNA	KUNGSGATAN 43	632 20	ESKILSTUNA	016-162700	016-162701	registrator@ei.se	www.energimarknadsinspektionen.se	2016:742
202100-2098	EXPORTKREDITNÄMNDEN	BOX 3064	103 61	STOCKHOLM	KUNGSGATAN 36	111 35	STOCKHOLM	08-7880000	08-4118149	info@ekn.se	www.ekn.se	2007:1217
202100-4870	FASTIGHETSMÄKLARINSPEKTIONEN	BOX 5045	650 05	KARLSTAD	VÅXNÄSGATAN 5	653 40	KARLSTAD	010-4580100	010-2247110	registrator@fmi.se	www.fmi.se	2009:606
202100-0043	FIDEIKOMMISSNÄMNDEN	BOX 2218	103 15	STOCKHOLM				08-7000800		registratur@kammarkollegiet.se	www.kammarkollegiet.se/namndmyndigheter/fideikommissnamnden	2007:1074
202100-4235	FINANSINSPEKTIONEN	BOX 7821	103 97	STOCKHOLM	BRUNNSGATAN 3	111 38	STOCKHOLM	08-40898000	08-241335	finansinspektionen@fi.se	www.fi.se	2009:93
202100-5687	FINANSPOLITISKA RÅDET	BOX 3273	103 65	STOCKHOLM	KUNGSGATAN 12-14	111 35	STOCKHOLM	08-4535990		info@finanspolitiskaradet.se	www.finanspolitiskaradet.se	2011:446
202100-5380	FOLKE BERNADOTTEAKADEMIN	SANDÖVÄGEN 1	872 64	SANDÖVERKEN	SANDÖVÄGEN 1	872 64	SANDÖVERKEN	010-4562300	0612-82399	info@fba.se	www.fba.se	2013:727
202100-6545	FOLKHÄLSOMYNDIGHETEN		171 82	SOLNA	NOBELS VÄG 18	171 65	SOLNA	010-2052000	08-344960	info@folkhalsomyndigheten.se	www.folkhalsomyndigheten.se	2013:1020
202100-5893	FORSKARSKATTENÄMNDEN	BOX 24144	104 51	STOCKHOLM				010-5747957	08-210619	kansliet@skatterattsnamnden.se	www.forskarskattenamnden.se	2007:786
202100-5232	FORSKNINGSRÅDET F MILJÖ ARELLA NÄRINGAR OCH SAMH	BOX 1206	111 82	STOCKHOLM	KUNGSBRON 21	111 22	STOCKHOLM	08-7754000	08-7754010	registrator@formas.se	www.formas.se	2009:1024
202100-5240	FORSKNINGSRÅDET FÖR HÄLSA, ARBETSLIV OCH VÄLFÄRD	BOX 894	101 37	STOCKHOLM	ÖSTRA JÄRNVÄGSGATAN 27	111 20	STOCKHOLM	08-7754070	08-7754075	forte@forte.se	www.forte.se	2007:1431
202100-4607	FORTIFIKATIONSVERKET		631 89	ESKILSTUNA	KUNGSGATAN 43	632 20	ESKILSTUNA	010-4444000	016-133702	fortv@fortifikationsverket.se	www.fortv.se	2007:758
202100-5356	FORUM FÖR LEVANDE HISTORIA	BOX 2123	103 13	STOCKHOLM	STORA NYGATAN 10-12	111 27	STOCKHOLM	08-7238750	08-7238759	info@levandehistoria.se	www.levandehistoria.se	2007:1197
202100-0340	FÖRSVARETS MATERIELVERK		115 88	STOCKHOLM	BANÉRGATAN 62	115 53	STOCKHOLM	08-7824000	08-6675799	registrator@fmv.se	www.fmv.se	2007:854
202100-0365	FÖRSVARETS RADIOANSTALT	BOX 301	161 26	BROMMA	RÖRBYVÄGEN 20	178 93	DROTTNINGHOLM	08-4714600	08-4714853	fra@fra.se	www.fra.se	2007:937
202100-4730	FÖRSVARSHÖGSKOLAN	BOX 27805	115 93	STOCKHOLM	DROTTNING KRISTINAS VÄG 37	114 28	STOCKHOLM	08-55342500	08-55342598	registrator@fhs.se	www.fhs.se	2007:1164
202100-4615	FÖRSVARSMAKTEN		107 85	STOCKHOLM	LIDINGÖVÄGEN 24	115 57	STOCKHOLM	08-7887500	08-7887778	exp-hkv@mil.se	www.forsvarsmakten.se	2007:1266
202100-5521	FÖRSÄKRINGSKASSAN		103 51	STOCKHOLM	LM ERICSSONS VÄG 28	126 26	HÄGERSTEN	08-7869000	08-4112789	huvudkontoret@forsakringskassan.se	www.forsakringskassan.se	2009:1174
202100-4813	GENTEKNIKNÄMNDEN	FOGDEVRETEN 2 A	171 65	SOLNA	FOGDEVRETEN 2 A	171 65	SOLNA	08-50884630	08-50884633	genteknik@genteknik.se	www.genteknik.se	2007:1075
202100-6859	GRANSKNINGSNÄMNDEN FÖR FÖRSVARSUPPFINNINGAR		103 33	STOCKHOLM								2007:855
202100-4334	GYMNASTIK- OCH IDROTTSHÖGSKOLAN (GIH)	BOX 5626	114 86	STOCKHOLM	LIDINGÖVÄGEN 1	114 33	STOCKHOLM	08-12053700	08-4022280	registrator@gih.se	www.gih.se	1993:100
202100-3153	GÖTEBORGS UNIVERSITET	BOX 100	405 30	GÖTEBORG	VASAGATAN 33	411 37	GÖTEBORG	031-7860000	031-7861064	registrator@gu.se	www.gu.se	1993:100
202100-4250	HARPSUNDSNÄMNDEN	HARPSUND	640 31	MELLÖSA	HARPSUND	640 31	MELLÖSA	0157-60003	0157-60785	per.rudengren@telia.com	www.harpsund.se	2007:1227
202100-6420	HAVS- OCH VATTENMYNDIGHETEN	BOX 11930	404 39	GÖTEBORG	GULLBERGS STRANDGATA 15	411 04	GÖTEBORG	010-6986000	010-6986111	havochvatten@havochvatten.se	www.havochvatten.se	2011:619
202100-3765	HÄLSO- & SJUKVÅRDENS ANSVARSNÄMND		106 30	STOCKHOLM				08-7000800			www.hsan.se	2011:582
202100-2908	HÖGSKOLAN DALARNA		791 88	FALUN	HÖGSKOLEGATAN 2	791 31	FALUN	023-778000	023-778090	registrator@du.se	www.du.se	1993:100
202100-3138	HÖGSKOLAN I BORÅS		501 90	BORÅS	ALLÉGATAN 1	503 32	BORÅS	033-4354000	033-4354003	registrator@hb.se	www.hb.se	1993:100
202100-2890	HÖGSKOLAN I GÄVLE		801 76	GÄVLE	KUNGSBÄCKSVÄGEN 47	802 67	GÄVLE	026-648500	026-648686	registrator@hig.se	www.hig.se	1993:100
202100-3203	HÖGSKOLAN I HALMSTAD	BOX 823	301 18	HALMSTAD	KRISTIAN IV:S VÄG 3	302 50	HALMSTAD	035-167100	035-186192	registrator@hh.se	www.hh.se	1993:100
202100-3195	HÖGSKOLAN I KRISTIANSTAD		291 88	KRISTIANSTAD	ELMETORPSVÄGEN 15	291 39	KRISTIANSTAD	044-2503000	044-129651	info@hkr.se	www.hkr.se	1993:100
202100-3146	HÖGSKOLAN I SKÖVDE	BOX 408	541 28	SKÖVDE	HÖGSKOLEVÄGEN 1	541 45	SKÖVDE	0500-448000	0500-416325	registrator@his.se	www.his.se	1993:100
202100-4052	HÖGSKOLAN VÄST		461 86	TROLLHÄTTAN	GUSTAVA MELINS GATA 2	461 32	TROLLHÄTTAN	0520-223000	0520-223099	servicecenter@hv.se	www.hv.se	1993:100
202100-6867	HÖGSKOLANS AVSKILJANDENÄMND	BOX 7249	103 89	STOCKHOLM							www.han.se	2007:990
202100-5877	ILO-KOMMITTÉN		103 33	STOCKHOLM				08-4051000		a.ilo-kommitten@regeringskansliet.se	http://svenskailo-kommitten.se	1977:987
202100-5414	INSPEKTIONEN FÖR ARBETSLÖSHETSFÖRSÄKRING	BOX 210	641 22	KATRINEHOLM	KÖPMANGATAN 2	641 30	KATRINEHOLM	0150-487000	0150-487002	iaf@iaf.se	www.iaf.se	2007:906
202100-6248	INSPEKTIONEN FÖR SOCIALFÖRSÄKRINGEN	BOX 202	101 24	STOCKHOLM	FLEMINGGATAN 7	112 26	STOCKHOLM	08-58001500	08-58001590	registrator@inspsf.se	www.inspsf.se	2009:602
202100-4912	INSPEKTIONEN FÖR STRATEGISKA PRODUKTER		164 90	STOCKHOLM	GULLFOSSGATAN 6	164 40	KISTA	08-4063100	08-203100	registrator@isp.se	www.isp.se	2010:1101
202100-6537	INSPEKTIONEN FÖR VÅRD OCH OMSORG	BOX 45184	104 30	STOCKHOLM	SOLNAVÄGEN 4	113 65	STOCKHOLM	010-7885000		registrator@ivo.se	www.ivo.se	2013:196
202100-4946	INSTITUTET FÖR ARBETSMARKNADS-OCH UTBILDNINGSPOLITISK UTVÄRDERING	BOX 513	751 20	UPPSALA	KYRKOGÅRDSGATAN 6	753 12	UPPSALA	018-4717070	018-4717071	ifau@ifau.uu.se	www.ifau.se	2012:741
202100-3567	INSTITUTET FÖR RYMDFYSIK	BOX 812	981 28	KIRUNA	RYMDCAMPUS 1	981 92	KIRUNA	0980-79000	0980-79050	irf@irf.se	www.irf.se	2007:1163
202100-1082	INSTITUTET FÖR SPRÅK OCH FOLKMINNEN	BOX 135	751 04	UPPSALA	VON KRAEMERS ALLÉ 19	752 37	UPPSALA	0200-283333	018-652165	registrator@sprakochfolkminnen.se	www.sprakochfolkminnen.se	2007:1181
202100-0035	JUSTITIEKANSLERN	BOX 2308	103 17	STOCKHOLM	BIRGER JARLS TORG 12	111 28	STOCKHOLM	08-4051000	08-7230357	registrator@jk.se	www.jk.se	1975:1345
202100-6693	JÄMSTÄLLDHETSMYNDIGHETEN	BOX 73	424 22	ANGERED	ANGEREDS TORG	424 65	ANGERED	031-3929000				2017:937
202100-0829	KAMMARKOLLEGIET	BOX 2218	103 15	STOCKHOLM	BIRGER JARLSGATAN 16	114 34	STOCKHOLM	08-7000800	08-204969	registratur@kammarkollegiet.se	www.kammarkollegiet.se	2007:824
202100-3120	KARLSTADS UNIVERSITET		651 88	KARLSTAD	UNIVERSITETSGATAN 2	656 37	KARLSTAD	054-7001000	054-7001460	information@kau.se	www.kau.se	1993:100
202100-2973	KAROLINSKA INSTITUTET		171 77	STOCKHOLM	SOLNAVÄGEN 1	171 65	SOLNA	08-52480000	08-327009	info@ki.se	www.ki.se	1993:100
202100-3880	KEMIKALIEINSPEKTIONEN	BOX 2	172 13	SUNDBYBERG	ESPLANADEN 3 A	172 67	SUNDBYBERG	08-51941100	08-7357698	kemi@kemi.se	www.kemi.se	2009:947
202100-6719	KLIMATPOLITISKA RÅDET	BOX 1206	111 82	STOCKHOLM							www.formas.se/Om-Formas/Klimatpolitiska-radet	2017:1268
202100-2007	KOMMERSKOLLEGIUM	BOX 6803	113 86	STOCKHOLM	DROTTNINGGATAN 89	113 60	STOCKHOLM	08-6904800	08-306759	registrator@kommers.se	www.kommers.se	2012:990
202100-0845	KONJUNKTURINSTITUTET	BOX 3116	103 62	STOCKHOLM	KUNGSGATAN 12-14	111 35	STOCKHOLM	08-4535900	08-4535980	registrator@konj.se	www.konj.se	2007:759
202100-4342	KONKURRENSVERKET		103 85	STOCKHOLM	TORSGATAN 11	111 23	STOCKHOLM	08-7001600	08-245543	konkurrensverket@kkv.se	www.konkurrensverket.se	2007:1117
202100-1199	KONSTFACK	BOX 3601	126 27	STOCKHOLM	LM ERICSSONS VÄG 14	126 26	HÄGERSTEN	08-4504100	08-4504129	registrator@konstfack.se	www.konstfack.se	1993:100
202100-3252	KONSTNÄRSNÄMNDEN	MARIA SKOLGATA 83	118 53	STOCKHOLM	MARIA SKOLGATA 83	118 53	STOCKHOLM	08-50655000		info@konstnarsnamnden.se	www.konstnarsnamnden.se	2007:1199
202100-2064	KONSUMENTVERKET	BOX 48	651 02	KARLSTAD	TAGE ERLANDERGATAN 8 A	652 20	KARLSTAD	0771-423300	054-194195	konsumentverket@konsumentverket.se	www.konsumentverket.se	2009:607
202100-5810	KRIGSFÖRSÄKRINGSNÄMNDEN	BOX 7821	103 97	STOCKHOLM				08-7878000	08-241335		http://www.regeringen.se/myndigheter-med-flera/krigsforsakringsnamnden/	2007:842
202100-0225	KRIMINALVÅRDEN		601 80	NORRKÖPING	SLOTTSGATAN 78	602 22	NORRKÖPING	077-2280800	011-4963640	hk@kriminalvarden.se	www.kriminalvarden.se	2007:1172
202100-5646	KRONOFOGDEMYNDIGHETEN		106 65	STOCKHOLM	ESPLANADEN 1	172 67	SUNDBYBERG	0771-737300		kronofogdemyndigheten@kronofogden.se	www.kronofogden.se	2016:1333
202100-1710	KUNGLIGA BIBLIOTEKET	BOX 5039	102 41	STOCKHOLM	HUMLEGÅRDSGATAN 26 HUMLEGÅRDEN	114 46	STOCKHOLM	010-7093000		kungl.biblioteket@kb.se	www.kb.se	2008:1421
202100-2957	KUNGLIGA KONSTHÖGSKOLAN	BOX 16315	103 26	STOCKHOLM	FLAGGMANSVÄGEN 1	111 49	STOCKHOLM	08-6144000	08-6798626	info@kkh.se	www.kkh.se	1993:100
202100-1215	KUNGLIGA MUSIKHÖGSKOLAN	BOX 27711	115 91	STOCKHOLM	VALHALLAVÄGEN 105	115 51	STOCKHOLM	08-161800	08-6641424	registrator@kmh.se	www.kmh.se	1993:100
202100-3054	KUNGLIGA TEKNISKA HÖGSKOLAN		100 44	STOCKHOLM	BRINELLVÄGEN 8	114 28	STOCKHOLM	08-7906000	08-7909005	info@kth.se	www.kth.se	1993:100
202100-3997	KUSTBEVAKNINGEN	BOX 536	371 23	KARLSKRONA	BASTIONSGATAN 18	371 32	KARLSKRONA	0776-707000	0455-10521	registrator@kustbevakningen.se	www.kustbevakningen.se	2007:853
202100-4904	KÄRNAVFALLSFONDEN	BOX 2218	103 15	STOCKHOLM	BIRGER JARLSGATAN 16	114 34	STOCKHOLM	08-7000800	08-203881	karnavfallsfonden@kammarkollegiet.se	www.karnavfallsfonden.se	2007:1055
202100-5315	LAGRÅDET	BOX 2066	103 12	STOCKHOLM				08-56166600	08-56166777	lagradet@dom.se	www.lagradet.se	2003:333
202100-4888	LANTMÄTERIET		801 82	GÄVLE	LANTMÄTERIGATAN 2C	802 64	GÄVLE	0771-636363	026-171642		www.lantmateriet.se	2009:946
202100-3096	LINKÖPINGS UNIVERSITET		581 83	LINKÖPING	MÄSTER MATTIAS VÄG	583 30	LINKÖPING	013-281000	013-149403	registrator@liu.se	www.liu.se	1993:100
202100-6271	LINNÉUNIVERSITETET		351 95	VÄXJÖ	UNIVERSITETSPLATSEN 1	352 52	VÄXJÖ	0772-288000		info@lnu.se	www.linneuniversitetet.se	1993:100
202100-3732	LIVRUSTKAMMAREN OCH SKOKLOSTERS SLOTT MED STIFTELSEN HALLWYLSKA MUSEET	SLOTTSBACKEN 3	111 30	STOCKHOLM				08-4023000	08-207305	registrator@lsh.se	www.lsh.se	2007:1195
202100-1850	LIVSMEDELSVERKET	BOX 622	751 26	UPPSALA	HAMNESPLANADEN 5	753 19	UPPSALA	018-175500	018-105848	livsmedelsverket@slv.se	www.livsmedelsverket.se	2009:1426
202100-6727	LOKALA SÄKERHETSNÄMNDEN VID BARSEBÄCK		244 80	KÄVLINGE							www.kavlinge.se/kommunochpolitik/sakerhetochkris/lokalasakerhetsnamndenkso.4.18214b0d140c4bc7c212480.html	2007:1054
202100-6735	LOKALA SÄKERHETSNÄMNDEN VID FORSMARK	BOX 66	742 21	ÖSTHAMMAR							www.osthammar.se/sv/organisation/namnd/lokala-sakerhetsnamnden/	2007:1054
202100-6743	LOKALA SÄKERHETSNÄMNDEN VID OSKARSHAMN	BOX 706	572 28	OSKARSHAMN							www.oskarshamn.se/mer-om-kommunen/karnenergi-och-karnavfall/lokala-sakerhetsnamnden-vid-oskarshamns-karnkraftverk-och-karnenergiberedskap/	2007:1054
202100-6750	LOKALA SÄKERHETSNÄMNDEN VID RINGHALS		432 80	VARBERG							www.varberg.se/kommunpolitik/kommunensorganisation/lokalasakerhetsnamnden.4.12d3b98d13f7ba71e5a1edb.html	2007:1054
202100-6768	LOKALA SÄKERHETSNÄMNDEN VID STUDSVIK		611 83	NYKÖPING							www.nykoping.se/Kommun--politik/Politik/Namnder/Lokala-Sakerhetsnamnden	2007:1054
202100-3310	LOTTERIINSPEKTIONEN	BOX 199	645 23	STRÄNGNÄS	FINNINGEVÄGEN 54 B	645 42	STRÄNGNÄS	0152-650100	0152-650 18	registrator@lotteriinspektionen.se	www.lotteriinspektionen.se	2007:756
202100-2841	LULEÅ TEKNISKA UNIVERSITET		971 87	LULEÅ	UNIVERSITETSOMRÅDET PORSÖN	977 54	LULEÅ	0920-491000	0920-491399	registrator@ltu.se	www.ltu.se	1993:100
202100-3211	LUNDS UNIVERSITET	BOX 117	221 00	LUND	PARADISGATAN 2	223 50	LUND	046-2220000	046-2224720	lu@lu.se	www.lu.se	1993:100
202100-4078	LÄKEMEDELSVERKET	BOX 26	751 03	UPPSALA	DAG HAMMARSKJÖLDS VÄG 42	752 37	UPPSALA	018-174600	018-548566	registrator@mpa.se	www.lakemedelsverket.se	2007:1205
202100-2320	LÄNSSTYRELSEN I BLEKINGE LÄN		371 86	KARLSKRONA	SKEPPSBROKAJEN 4	371 33	KARLSKRONA	010-2240000	010-2240223	blekinge@lansstyrelsen.se	www.lansstyrelsen.se/blekinge	2017:868
202100-2429	LÄNSSTYRELSEN I DALARNAS LÄN		791 84	FALUN	ÅSGATAN 38	791 72	FALUN	010-2250000	010-2250110	dalarna@lansstyrelsen.se	www.lansstyrelsen.se/dalarna	2017:868
202100-2312	LÄNSSTYRELSEN I GOTLANDS LÄN		621 85	VISBY	VISBORGSALLÉN 4	621 50	VISBY	010-2239000	0498-217289	gotland@lansstyrelsen.se	www.lansstyrelsen.se/gotland	2017:868
202100-2437	LÄNSSTYRELSEN I GÄVLEBORGS LÄN		801 70	GÄVLE	BORGMÄSTARPLAN 2	802 66	GÄVLE	010-2251000	010-2251150	gavleborg@lansstyrelsen.se	www.lansstyrelsen.se/gavleborg	2017:868
202100-2353	LÄNSSTYRELSEN I HALLANDS LÄN		301 86	HALMSTAD	SLOTTSGATAN 2	302 42	HALMSTAD	010-2243000	035-107548	halland@lansstyrelsen.se	www.lansstyrelsen.se/halland	2017:868
202100-2452	LÄNSSTYRELSEN I JÄMTLANDS LÄN		831 86	ÖSTERSUND	RESIDENSGRÄND 7	831 30	ÖSTERSUND	010-2253000	010-2253010	jamtland@lansstyrelsen.se	www.lansstyrelsen.se/jamtland	2017:868
202100-2288	LÄNSSTYRELSEN I JÖNKÖPINGS LÄN		551 86	JÖNKÖPING	HAMNGATAN 4	553 16	JÖNKÖPING	036-395000	036-121558	jonkoping@lansstyrelsen.se	www.lansstyrelsen.se/jonkoping	2017:868
202100-2304	LÄNSSTYRELSEN I KALMAR LÄN		391 86	KALMAR	REGERINGSGATAN 1	392 31	KALMAR	010-2238000	010-2238110	kalmar@lansstyrelsen.se	www.lansstyrelsen.se/kalmar	2017:868
202100-2296	LÄNSSTYRELSEN I KRONOBERGS LÄN		351 86	VÄXJÖ	KUNGSGATAN 8	352 33	VÄXJÖ	010-2237000	010-2237220	kronoberg@lansstyrelsen.se	www.lansstyrelsen.se/kronoberg	2017:868
202100-2478	LÄNSSTYRELSEN I NORRBOTTENS LÄN		971 86	LULEÅ	STATIONSGATAN 5	972 38	LULEÅ	010-2255000	0920-228411	Norrbotten@lansstyrelsen.se	www.lansstyrelsen.se/norrbotten	2017:868
202100-2346	LÄNSSTYRELSEN I SKÅNE LÄN		205 15	MALMÖ	SÖDERGATAN 5	211 34	MALMÖ	010-2241000	010-2241110	skane@lansstyrelsen.se	www.lansstyrelsen.se/skane	2017:868
202100-2247	LÄNSSTYRELSEN I STOCKHOLMS LÄN	BOX 22067	104 22	STOCKHOLM	REGERINGSGATAN 66	111 39	STOCKHOLM	010-2231000	010-2231110	stockholm@lansstyrelsen.se	www.lansstyrelsen.se/stockholm	2017:868
202100-2262	LÄNSSTYRELSEN I SÖDERMANLANDS LÄN		611 86	NYKÖPING	STORA TORGET 13	611 32	NYKÖPING	010-2234000	0155-267125	sodermanland@lansstyrelsen.se	www.lansstyrelsen.se/sodermanland	2017:868
202100-2254	LÄNSSTYRELSEN I UPPSALA LÄN		751 86	UPPSALA	BÄVERNS GRÄND 17	753 19	UPPSALA	010-2233000		uppsala@lansstyrelsen.se	www.lansstyrelsen.se/uppsala	2017:868
202100-2395	LÄNSSTYRELSEN I VÄRMLANDS LÄN		651 86	KARLSTAD	VÅXNÄSGATAN 5-7	653 40	KARLSTAD	010-2247000	010-2247100	varmland@lansstyrelsen.se	www.lansstyrelsen.se/varmland	2017:868
202100-2460	LÄNSSTYRELSEN I VÄSTERBOTTENS LÄN		901 86	UMEÅ	STORGATAN 71 B	903 30	UMEÅ	010-2254000	010-2254110	vasterbotten@lansstyrelsen.se	www.lansstyrelsen.se/vasterbotten	2017:868
202100-2445	LÄNSSTYRELSEN I VÄSTERNORRLANDS LÄN		871 86	HÄRNÖSAND	PUMPBACKSGATAN 19	871 31	HÄRNÖSAND	0611-349000	0611-349372	vasternorrland@lansstyrelsen.se	www.lansstyrelsen.se/vasternorrland	2017:868
202100-2411	LÄNSSTYRELSEN I VÄSTMANLANDS LÄN		721 86	VÄSTERÅS	VÄSTRA RINGVÄGEN 1	722 11	VÄSTERÅS	010-2249000	010-2249110	vastmanland@lansstyrelsen.se	www.lansstyrelsen.se/vastmanland	2017:868
202100-2361	LÄNSSTYRELSEN I VÄSTRA GÖTALANDS LÄN		403 40	GÖTEBORG	SÖDRA HAMNGATAN 3	411 14	GÖTEBORG	010-2244000	031-7742763	vastragotaland@lansstyrelsen.se	www.lansstyrelsen.se/vastragotaland	2017:868
202100-2403	LÄNSSTYRELSEN I ÖREBRO LÄN		701 86	ÖREBRO	STORTORGET 22	702 11	ÖREBRO	010-2248000	010-2248131	orebro@lansstyrelsen.se	www.lansstyrelsen.se/orebro	2017:868
202100-2270	LÄNSSTYRELSEN I ÖSTERGÖTLANDS LÄN		581 86	LINKÖPING	ÖSTGÖTAGATAN 3	582 32	LINKÖPING	010-2235000	013-101381	ostergotland@lansstyrelsen.se	www.lansstyrelsen.se/ostergotland	2017:868
202100-4920	MALMÖ UNIVERSITET		205 06	MALMÖ	NORDENSKIÖLDSGATAN 1	211 19	MALMÖ	040-6657000		info@mah.se	www.mah.se	1993:100
202100-5174	MEDLINGSINSTITUTET	BOX 1236	111 82	STOCKHOLM	ÖSTERLÅNGGATAN 43	111 31	STOCKHOLM	08-54529240	08-6506836	info@mi.se	www.mi.se	2007:912
