Land	Namn	Ambassadör/Generalkonsul	PostAdress1	PostAdress2	PostAdress3	PostAdress4	PostAdress5	PostAdress6	PostAdress7	BesöksAdress1	BesöksAdress2	BesöksAdress3	BesöksAdress4	BesöksAdress5	BesöksAdress6	BesöksAdress7	Tfn	Fax	Epost	Webbadress
Armenien	se Georgien																			
Aruba	se Nederländerna																			
Australien	Sveriges ambassad Canberra	Pär Ahlberger	Embassy of Sweden	Yarralumla ACT 2600	Canberra	Australien				Sveriges Ambassad	5 Turrana Street	Yarralumla	Canberra				+61 (2) 62 70 27 00	+61 (2) 62 70 27 55	ambassaden.canberra@gov.se	www.swedenabroad.com/canberra
Azerbajdzjan	Sveriges Ambassad Baku	Tomas Danestad	Embassy of Sweden	ISR Plaza 11th Floor	69 Nizami Street	AZ-1005 Baku	Azerbaijan			ISR Plaza 11th Floor	69 Nizami Street	Baku					+994 (0)12 505 25 76	+994 (0)12 505 25 67	ambassaden.baku@gov.se	http://www.swedenabroad.com/en-GB/Embassies/Baku
Bahamas	Kansliet för de Stockholmsbaserade sändebuden	Clas Hammar	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 STOCKHOLM												+46 8 405 10 00	+46 8 723 11 76	ud-kss@gov.se	http://www.swedenabroad.com/Page____117970.aspx
Bahrain	se Förenade Arabemiraten																			
Bangladesh	Sveriges ambassad Dhaka	Charlotta Schlyter	The Embassy of Sweden	Bay´s Edgewater, 6th floor, Plot-12,	North Avenue, Gulshan - 2	Bangladesh				Sveriges Ambassad	Bay´s Edgewater, 6th floor, Plot-12,	North Avenue, Gulshan - 2					+880 (2) 556 685 00	+880 (2) 985 20 32	ambassaden.dhaka@gov.se	www.swedenabroad.com/dhaka
Barbados	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Claes Hammar	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm												+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	
Belgien	Kansliet för de Stockholmsbaseade sändebuden	Maria Christina Lundqvist	UD-KSS	Stockholmsbaserade Ambassadörer	103 39 Stockholm												+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	
Belgien	Sveriges ständiga representation vid Europeiska unionen i Bryssel	Anders Ahnlid	Permanent Representation of Sweden to the European Union	Square de Meeûs 30	1000 Bryssel	Belgien				Sveriges ständiga representation vid Europeiska unionen	Square de Meeûs 30	Bryssel					+32 2 289 56 11	+32 2 289 56 00	representationen.bryssel@gov.se	www.regeringen.se/eu-representationen
Belgien	Sveriges delegation vid NATO i Bryssel	Axel Wernhoff	NATO HQ-MWB	Boulevard Léopold III	1110 Bryssel	Belgien				NATO HQ	Boulevard Léopold III	Bryssel( Evere)					+32 2 707 7855	+32 2 707 7856	nato-delegationen.bryssel@gov.se	http://www.swedenabroad.com/nato
Belize	Kansliet för de Stockholmsbaserde sändebuden	Claes Hammar	Regeringskansliet	UD-KSS	103 39 Stockholm					Tegelbacken 2							+46 8 405 1000	+46 8 723 1176	ud-kss@gov.se	http://www.swedenabroad.com/Page____117970.aspx
Benin	Kansliet för deStockholmsbaserade sändebuden	Maria Leissner	UD KSS	Utrikesdepartementet	SE-103 39 Stockholm	Sverige				Tegelbacken 2							+46 8 405 1000	+46 8 723 1176	ud-kss@gov.se	
Bhutan	se Indien																			
Bolivia	Sveriges Ambassad Bolivia	Tommy Strömberg	Embajada de Suecia	Avenida Arce 2631 Edificio	Multicine, Piso 11, San Jorge	La Paz	Bolivia			Sveriges Ambassad	Avenida Arce 2631, Edificio Multicine,	piso 11	San Jorge	La Paz			+591 2 297 96 30	+591 2 297 96 31	ambassaden.lapaz@gov.se	www.swedenabroad/LaPaz
Bosnien-Hercegovina	Sveriges ambassad Sarajevo	Anders Hagelberg	Embassy of Sweden	Ferhadija 20	71000 Sarajevo	Bosnien-Hercegovina				Sveriges Ambassad	Ferhadija 20	Sarajevo					+387 (0)33 27 60 30	+387 (0)33 27 60 60	ambassaden.sarajevo@gov.se	www.swedenabroad.com/sv-SE/Ambassader/Sarajevo
Brasilien	Sveriges ambassad Brasilia	Per-Arne Hjelmborn	Embaixada da Suécia	Avenida das Nações,	Qd.807, lote 29	CEP: 70419-900	Asa Sul - Brasilia			Sveriges Ambassad	Avenida das Nações,	Qd.807, lote 29	70419-900 Brasilia - DF				+55 (61) 3442 52 00	+55 (61) 3443 11 87	ambassaden.brasilia@gov.se	www.swedenabroad.com (www.suecia.org.br)
Brunei	se Singapore																			
Bulgarien	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Louise Bergholm	Regeringskansliet	UD-KSS	103 39 Stockholm					Tegelbacken 2							+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	www.swedenabroad.com/europa
Burkina Faso	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Eva Emnéus	Sveriges ambassad	11 BP 755, CMS, Ouagadougou 11med kansli	Burkina Faso					Sveriges ambassad	11 BP 755, CMS, Ouagadougou 11	Burkina Faso					+226 50 49 61 70		ambassaden.ouagadougou@sida.se	www.swedenabroad.com/ouagadougou
Burundi	se Kenya																			
Centralafrikanska Republiken	se Kongo, demokratiska republiken																			
Chile	Sveriges ambassad Santiago de Chile	Jakob Kiefer	Embajada de Suecia	Casilla 166339	Santiago de Chile 9	Chile				Sveriges Ambassad	Nueva Providencia 2353, 4 Piso	Torre San Ramón	PROVIDENCIA				+56 (2) 940 1700	+56 (2) 940 1730	ambassaden.santiago-de-chile@gov.se	www.swedenabroad.se/santiago-de-chile
Colombia	Sveriges ambassad Bogotá Distrito Capital	Tommy Strömberg	Embajada de Suecia	Calle 72 No. 5-83	Edificio Avenida de Chile, piso 8	Bogotá D.C.	Colombia			Sveriges Ambassad	Calle 72 No. 5-83	Edificio Avenida de Chile, piso 8	Bogotá D.C.				+57 (1) 325 61 00	+57 (1) 314 50 25	ambassaden.bogota@gov.se	www.swedenabroad.com/bogota
Costa Rica	se Guatemala																			
Cypern	Sveriges ambassad Nicosia	Anna Olsson Vrang	Embassy of Sweden	P.O. Box 216 21	1511 Nicosia	Cypern				Sveriges Ambassad	Archbishop Makarios III Avenue 9, 2 tr	1065 Nicosia					+357 (22) 45 80 88	+357 (22) 37 45 22	ambassaden.nicosia@gov.se	www.swedenabroad/nicosia
Danmark	Sveriges ambassad Köpenhamn	Fredrik Jörgensen	Sveriges Ambassad	Sankt Annæ Plads 15 A	1250 København K					Sveriges Ambassad	Sankt Annæ Plads 15 B	Köpenhamn K					+45 (-) 33 36 03 70	+45 (-) 33 36 03 95	ambassaden.kopenhamn@gov.se	www.sverigesambassad.dk
Djibouti	se Etiopien																			
Dominica	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Claes Hammar	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm					Tegelbacken 2							+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	http://www.swedenabroad.com/Page____115418.aspx
Dominikanska republiken	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Cles Hammar	Regeringskansliet	UD-KSS	103 39 Stockholm					Tegelbacken 2							+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	http://www.swedenabroad.com/Page____115418.aspx
Ecuador	se Colombia																			
Egypten	Sveriges ambassad Kairo	Charlotta Sparre	Embassy of Sweden	P.o Box 131	112 11 Zamalek	Kairo	Egypten			Sveriges Ambassad	13, Mohamed Mahzar Street	Zamalek	Kairo				+20 (2) 2728 92 00	+20 (2) 2735 43 57	ambassaden.kairo@gov.se	www.swedenabroad.com/kairo
Ekvatorialguinea	se Kongo, demokratiska republiken																			
El Salvador	se Guatemala																			
Elfenbenskusten	Kansliet för de Stockholmsbaserade sändebuden		Regeringskansliet	UD-KSS	103 39 Stockholm					Tegelbacken 2							+46 (8) 405 1000	+46 (8) 723 1176	ud-kss@gov.se	www.swedenabroad.com/sv-SE/Ambassader/Afrika/Om-oss/Elfenbenskusten
Eritrea	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Per Enarsson	Regeringskansliet	UD-KSS	103 39 Stockholm					Tegelbacken 2							+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	www.swedenabroad.com
Estland	Sveriges ambassad Tallinn	Mikael Eriksson	Embassy of Sweden	Pikk 28	15055 Tallinn	Estland				Sveriges Ambassad	Pikk 28	Tallinn					+372 (-) 640 5600	+372 (-) 640 5695	ambassaden.tallinn@gov.se	http://www.swedenabroad.com/et-EE/Embassies/Tallinn/
Etiopien	Sveriges ambassad Addis Abeba	Torbjörn Pettersson	Embassy of Sweden	P. O. Box 1142	Addis Abeba	Ethiopia				Sveriges Ambassad	Lideta Sub-City	Kebele 07/14, House No. 891	Addis Abeba				+251 (11) 518 00 00	+251 (11) 518 00 30	ambassaden.addis-abeba@gov.se	www.swedenabroad.com/en-GB/Embassies/Addis-Abeba
Fiji	se Australien																			
Finland	Sveriges ambassad Helsingfors	Anders Ahnlid	Sveriges Ambassad	PB 329	FI-00171 Helsingfors	Finland				Sveriges Ambassad	Norra Esplanaden 7 B	FI-00170 Helsingfors					+358 9 68 77 660	+358 9 17 64 16	ambassaden.helsingfors@gov.se	www.sverige.fi www.swedenabroad.com/helsingfors
Finland	Sveriges generalkonsulat Mariehamn	Olof Ehrenkrona	Sveriges generalkonsulat	Norragatan 44	22100 Mariehamn, Åland	Finland				Sveriges Generalkonsulat	Norragatan 44	Mariehamn					+358 18 196 24	+358 18 176 24	generalkonsulat.mariehamn@gov.se	www.swedenabroad.com/mariehamn
Frankrike	Sveriges delegation Paris, OECD	Annika Markovic	La délégation de la Suède auprès de l'OCDE	17 rue Barbet-de-Jouy	75007 Paris	Frankrike				La délégation de la Suède auprès de l'OCDE	17 rue Barbet-de-Jouy	75007 Paris					+33 1 44 18 88 00	+33 1 44 18 88 10	oecd-del.paris@gov.se	Sveriges delegation vid OECD:s webbplats
Frankrike	Sveriges representation Strasbourg, Europarådet	Torbjörn Haak	Sveriges ständiga representation vid Europarådet i Strasbourg	67, allée de la Robertsau	67000 Strasbourg	Frankrike				67, allée de la Robertsau	Strasbourg						+33 3 88 24 60 50	+33 3 88 24 48 30	representationen.strasbourg@gov.se	www.swedenabroad.com
Frankrike	Sveriges ambassad Paris	Veronika Wand- Danielsson	Ambassade de Suède	17, rue Barbet-de-Jouy	75007 Paris	Frankrike				Sveriges Ambassad	17, rue Barbet-de-Jouy	75007 Paris					+33 (0)1 44 18 88 00	+33 (0)1 44 18 88 40	ambassaden.paris@gov.se	www.swedenabroad.com/fr-FR/Embassies/Paris
Förenade arabemiraten	Sveriges ambassad Abu Dhabi	Henrik Landerholm	Embassy of Sweden	P.O. Box 31867	Abu Dhabi	Förenade arabemiraten				Sveriges Ambassad	Al Otaiba Tower	Electra Street	Abu Dhabi				+971 (2) 417 88 00	+971 (2) 417 88 50	ambassaden.abu-dhabi@gov.se	www.swedenabroad.com/abudhabi
Gabon	se Kongo, demokratiska republiken																			
Gambia	Banjul		103 39 Stockholm							Tegelbacken 2							+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	www.swedenabroad.com/sv-SE/Ambassader/Afrika/Om-oss/Gambia-sys
Georgien	Sveriges ambassad Tbilisi	Ulrik Tideström	Embassy of Sweden	15, Turn Kipshidze Street (Vake region)	0162 Tbilisi					Sveriges ambassad	15, Turn Kipshidze Street (Vake region)	0162 Tbilisi					+995 32 255 03 20	+995 32 222 48 90	ambassaden.tbilisi@gov.se	www.swedenabroad.com/tbilisi
Ghana	se Nigeria																			
Gibraltar	se Storbritannien och Nordirland																			
Grekland	Sveriges ambassad Athen	Charlotte Sammelin	Embassy of Sweden	Vassileos Konstantinou 7, vån 5	106 74 Athen	Grekland				Sveriges Ambassad	Vassileos Konstantinou 7, vån 5	106 74 Athen					+30 (210) 72 66 100	+30 (210) 72 66 150	ambassaden.athen@gov.se	www.swedenabroad/Athens
Grenada	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Claes Hammar	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm												+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	http://www.swedenabroad.com/Page____115418.aspx
Guatemala	Sveriges ambassad Guatemala	Martin Hessel (tf. myndighetschef)	Embajada de Suecia	Apartado Postal 966-A	Avenida La Reforma	zona 9	Ciudad de Guatemala 01009			Sveriges Ambassad	zona 10	Edificio Reforma 10	nivel 11	Guatemala City			+502 (2) 384 7300	+502 (2) 384 7350	ambassaden.guatemala@gov.se	www.swedenabroad.com/guatemala
Guinea	Kansliet för de Stockholmsbaserade sändebuden		Regeringskansliet	UD-KSS	103 39 Stockholm					Tegelbacken 2							+ 46 (8) 405 10 00	+ 46 (8) 723 11 76	ud-kss@gov.se	www.swedenabroad.com/sv-SE/Ambassader/Afrika/Om-oss/Guinea
Guinea-Bissau	se Senegal																			
Guyana	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Claes Hammar	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm												+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	http://www.swedenabroad.com/Page____115418.aspx-
Haiti	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Claes Hammar	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm												+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	
Heliga Stolen	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Cecilia Björner	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm					Tegelbacken 2							+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	www.swedenabroad.com    (Holy See, p.t. Stockholm)
Honduras	se Guatemala																			
Indien	Sveriges ambassad New Delhi	Klas Molin	Embassy of Sweden	Nyaya Marg	Chanakyapuri	New Delhi 110 021	Indien			Sveriges Ambassad	4-5 Nyaya Marg, Chanakyapuri	New Delhi					+91 (11) 441 971 00	+91 (11) 441 971 01	ambassaden.new-delhi@gov.se	www.swedenabroad.se/newdelhi
Indonesien	Sveriges ambassad Jakarta	Marina Berg	Embassy of Sweden	Menara Rajawali, 9th floor	Kawasan Mega Kuningan, Lot 5.1	12950 Jakarta	Indonesia			Sveriges Ambassad	Menara Rajawali, 9th floor	JI. DR. Ide Anak Agung Gede Agung Lot #5.1	Kawasan Mega Kuningan	Jakarta 12950			+62 (21) 25535911	+62 (21) 25535941	ambassaden.jakarta@gov.se	www.swedenabroad.com/jakarta
Irak	Sveriges ambassad för Irak	Pontus Melander	Embassy of Sweden	P.O. box 55550	Baghdad Post,	Bagdad, Irak				House No 21	Karadat Mariam	District 22	Street No 8				+964 (78) 01 987 450/51/52		ambassaden.bagdad@gov.se	www.swedenabroad.com/bagdad
Iran	Sveriges ambassad Teheran	Peter Tejler	Embassy of Sweden	P.O. Box 19575-458	Teheran	Iran				Sveriges Ambassad	27 Nastaran Str, Boostan Ave,	Pasdaran Ave (North of Dr. Lavasani)	Teheran				+98 21 2371 22 00	+98 21 2229 64 51	ambassaden.teheran@gov.se	www.swedenabroad.com/teheran
Irland	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Anna Brandt	UD-KSS	Stockholmsbaserade ambassadörer	103 39 Stockholm					Tegelbacken 2							+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	www.swedenabroad.com/europa
Island	Sveriges ambassad Reykjavik	Håkan Juholt	Sveriges Ambassad	P.O. Box 8136	128 Reykjavik	Island				Sveriges Ambassad	Lágmúla 7	108 Reykjavik					+354 (-) 520 12 30	+354 (-) 520 12 35	ambassaden.reykjavik@gov.se	www.swedenabroad.com
Israel	Sveriges ambassad Tel Aviv	Carl Magnus Nesser	Embassy of Sweden	P.O.B. 9393	Tel Aviv 6109301	Israel				Sveriges Ambassad	Adgar 360, 24 th floor	2, Hashlosha St	Tel Aviv	Israel			+972 3 718 00 00	+972 3 718 00 05	ambassaden.tel-aviv@gov.se	www.swedenabroad.com/telaviv
Italien	Sveriges ambassad Rom	Robert Rydberg	Ambasciata di Svezia	Via Serchio 9-11	00198 Rom RM	Italien				Sveriges Ambassad	Via Serchio 9-11	00198 Rom RM	Italien				+39 (-)06 44 19 41 00	+39 (-)06 44 44194760/1/2	ambassaden.rom@gov.se	www.swedenabroad.com/rom
Jamaica	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Claes Hammar	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm					Tegelbacken 2							+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	http://www.swedenabroad.com/Page____115425.aspx-
Japan	Sveriges ambassad Tokyo	Magnus Robach	Embassy of Sweden	1-10-3-100 Roppongi	Minato-ku	Tokyo 106-0032	Japan			Sveriges Ambassad	1-10-3-100 Roppongi	Minato-ku	Tokyo 106-0032				+81 3 55 62 50 50	+81 3 55 62 90 95	ambassaden.tokyo@gov.se	www.swedenabroad.com
Jemen	se Saudiarabien																			
Jerusalem	Sveriges generalkonsulat Jerusalem	Ann-Sofie Nilsson	Consulate General of Sweden	P.O. Box 297	Jerusalem 91002	Jerusalem				Sveriges Generalkonsulat	5 Ibn Jubir Street,	Sheikh Jarrah	97300 Jerusalem				+972 2 646 58 60	+972 2 646 58 61	generalkonsulat.jerusalem@gov.se	www.swedenabroad.com/jerusalem
Jordanien	Sveriges ambassad Amman	Erik Ullenhag	Embassy of Sweden	P.O. Box 830536	11183 Amman	Jordanien				Sveriges Ambassad	20 Abdul Majeed Al-Adwan Street	Abdoun	Amman				+962 6 590 1300	+962 6 593 0179	ambassaden.amman@gov.se	www.swedenabroad.com/amman
Kambodja	Sveriges ambassad Kambodja	Maria Sargren	Embassy of Sweden	P.O. Box 68	Phnom Penh	Kambodja				Sveriges ambassad	10th floor, Phnom Penh Tower	445, Monivong Blvd, (St. 93/232)	Sangkat Boeung Pralit, Khan 7 Makara	Phnom Penh	Kambodja		+855 23 861 700	+855 23 861 701	ambassaden.phnom-penh@gov.se	www.swedenabroad.com/phnompenh
Kamerun	se Kongo, demokratiska republiken																			
Kanada	Sveriges ambassad Ottawa	Per Sjögren	Embassy of Sweden	377 Dalhousie Street, Suite 305	Ottawa, ON K1N 9N8	Kanada				Sveriges Ambassad	377 Dalhousie Street, Suite 305	Ottawa					+1 (613) 244 8200	+1 (613) 241 2277	sweden.ottawa@gov.se	www.swedishembassy.ca
Kap Verde	se Senegal																			
Kazakstan	Sveriges Ambassad Astana	Christian Kamill	Embassy of Sweden	Astana Tower 17th floor	12 Samal Microdistrict	010000 Astana	Republic of Kazakhstan			Embassy of Sweden	Astana Tower 17th floor	12 Samal Microdistrict	010000 Astana	Republic of Kazakhstan			+7 7172 591 805	+7 7172 591 806	ambassaden.astana@gov.se	www.swedenabroad.com/Astana
Kenya	Sveriges ambassad Nairobi	Anna Jardfelt	Embassy of Sweden	P.O. Box 30600	00100 Nairobi					Sveriges Ambassad	United Nations Crescent, Gigiri	Nairobi					+254 20 423 40 00	+254 20 423 43 39	ambassaden.nairobi@gov.se	www.swedenabroad.com/nairobi
Kina	Sveriges ambassad Peking	Anna Lindstedt	Embassy of Sweden	BEIJING 100600	P.R. China					Sveriges Ambassad	3 Dongzhimenwai Dajie	Sanlitun	Chaoyang District	Peking			+86 (10) 8531 1800	+86 (10) 6532 5008	ambassaden.peking@gov.se	http://www.swedenabroad.com/Beijing
Kina	Sveriges generalkonsulat Hongkong	Generalkonsul Helena Storm	Consulate General of Sweden	BEA Harbour View Centre, Suite 2501	56 Gloucester Road	Wan Chai, Hong Kong	Kina			Sveriges Generalkonsulat / Consulate General of Sweden	BEA Harbour View Centre, Suite 2501	56 Gloucester Road	Wan Chai, Hong Kong				+85 2 2521 1212	+85 2 2596 0308	generalkonsulat.hongkong@gov.se	www.swedenabroad.com/hongkong
Kina	Sveriges generalkonsulat Shanghai	Lisette Lindahl	Consulate General of Sweden	1521-1541,  Central Plaza	381 Huaihai Road (Middle)	Shanghai 200020	P R Kina			Sveriges Generalkonsulat	1521-1541, Central  Plaza	381 Huaihai Road (Middle)	Shanghai 200020				+86 21 5359 6610	+86 21 5359 9633	generalkonsulat.shanghai@gov.se	www.swedenabroad.com/shanghai
Kirgizistan	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Åke Peterson	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm												+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	
Komorerna	se Kenya																			
Kongo	se Kongo, demokratiska republiken																			
Kongo, demokratiska republiken	Sveriges ambassad Kinshasa	Maria Håkansson	Ambassade de Suède	B.P. 11096	Gombe - Kinshasa	Demokratiska Republiken Kongo				Ambassade de Suède	93, Avenue Roi Baudouin	Gombe - Kinshasa					+243 999 301 102		ambassaden.kinshasa@gov.se	www.swedenabroad.se/kinshasa
Kosovo	Sveriges ambassad Pristina	Henrik Nilsson	Sveriges Ambassad	Str. Perandori Justinian, No 111	Pejton	10000 Pristina	Republiken Kosovo			Sveriges Ambassad	Str. Perandori Justinian, No 111	Pejton	10 000 Pristina	Republiken Kosovo			+381 (0) 38 245 795	+381 (0) 38 245 791	ambassaden.pristina@gov.se	www.swedenabroad.com/kosovo
Kroatien	Sveriges ambassad  Zagreb	Diana Madunic	Embassy of Sweden	P.P. 779	10 000 Zagreb	Kroatien				Sveriges Ambassad	Strojarska 20, 24 th floor	10 000 Zagreb					+385 (1) 49 25 100	+385 (1) 49 25 125	ambassaden.zagreb@gov.se	www.swedenabroad.com/zagreb
Kuba	Sveriges ambassad Havanna	Jonas Lovén	Embajada de Suecia	Calle 34 #510	Miramar	Havanna	Kuba			Sveriges Ambassad	e/ 5a y 7a	Miramar	Havanna				+53 (7) 204 28 31	+53 (7) 204 11 94	ambassaden.havanna@gov.se	www.swedenabroad.com/havanna
Kuwait	se Saudiarabien																			
Lesotho	se Sydafrika																			
Lettland	Sveriges ambassad Riga	Annika Jagander	Embassy of Sweden	Andreja Pumpura iela 8	LV-1010 Riga	Lettland				Sveriges Ambassad	Andreja Pumpura iela 8	Riga					+371 (-) 67 68 66 00	+371 (-) 67 68 66 01	ambassaden.riga@gov.se	www.swedenabroad.com/riga
Libanon	Sidoackrediterad från amb. Damaskus	Jörgen Lindström	P O Box 11-4883	Beirut						STARCO bld	Block B	11 floor	Beirut				+961 (1) 360058	+961 (1) 358078	ambassaden.damaskus@gov.se	www.swedenabroad.com/damaskus
Liberia	Sveriges ambassad Monrovia	Ingrid Wetterqvist	Embassy of Sweden	LCL Compound	12th Street	Oceanside	Sinkor	Liberia		LCL Compound	12th Street	Oceanside	Sinkor	Monrovia			+231 770 1738 01		ambassaden.monrovia@gov.se	www.swedenabroad.com/sv-SE/Ambassader/Monrovia/
Libyen	Kansliet för de Stockholmsbaserade sändebuden (KSS)	Fredrik Florén	UD-KSS	Stockholmsbaserade ambassadörer med kansli	103 39 Stockholm												+46 (8) 405 10 00	+46 (8) 723 11 76	ud-kss@gov.se	
Liechtenstein	se Schweiz																			
Litauen	Sveriges ambassad Vilnius	Maria Lundqvist	Embassy of Sweden	Didzioji g. 16	LT-01128 Vilnius					Sveriges Ambassad	Didzioji g. 16	Vilnius					+370 (5) 268 50 10	+370 (5) 268 50 30	ambassaden.vilnius@gov.se	www.swedenabroad.com/vilnius
Luxemburg	Sveriges ambassad Luxemburg	Agneta Söderman	Ambassade de Suède	2, rue Heinrich Heine	L-1720 Luxemburg	Luxemburg				Sveriges Ambassad	2, rue Heinrich Heine	Luxemburg					+352 (-) 26 64 61	+352 (-) 29 69 09	ambassaden.luxemburg@foreign.ministry.se	www.swedenabroad.com/luxemburg
Madagaskar	se Tanzania																			
Makedonien	Sveriges ambassad Skopje	Mats Staffansson	Embassy of Sweden	8ma Udarna Brigada No. 2	1000 Skopje	Makedonien				Sveriges Ambassad	8ma Udarna Brigada No. 2	1000 Skopje					+389 (2) 329 78 80	+389 (2) 311 20 65	ambassaden.skopje@gov.se	www.swedenabroad.com/skopje
Malawi	se Zimbabwe																			
Malaysia	Sveriges ambassad Kuala Lumpur	Dag Juhlin-Dannfelt	Embassy of Sweden	P.O.Box 10239	50708 Kuala Lumpur	Malaysia				Embassy of Sweden	#12-02 Hampshire Place Office,	157 Hampshire,	1 Jalan Mayang Sari,	50450 Kuala Lumpur			+60-(0)3-220 30 200	+60-(0)3-220 30 201	ambassaden.kuala-lumpur@gov.se	www.swedenabroad.com/kualalumpur
Maldiverna	se Indien																			
